                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0733,                  1.004,                  1.982,                0.84578,                0.85663,                0.91569,                 0.8303,                 1.0235,                 1.0703,                 1.9294,             9.9084e-05,             9.9084e-05,             9.9084e-05
                     74,                  1.078,                 1.0028,                  1.983,                0.87311,                0.83683,                0.90784,                0.81882,                 1.0435,                 1.1207,                 1.9304,             9.5669e-05,             9.5669e-05,             9.5669e-05
                     75,                 1.0756,                 0.9992,                 1.9877,                0.88243,                 0.8447,                0.91977,                0.82787,                 1.0192,                 1.0284,                 1.9118,             9.2253e-05,             9.2253e-05,             9.2253e-05
                     76,                 1.0716,                0.96479,                 1.9726,                0.85303,                0.84988,                0.91567,                0.83005,                 1.0098,                 1.0612,                 1.9019,             8.8837e-05,             8.8837e-05,             8.8837e-05
                     77,                 1.0559,                0.97989,                 1.9779,                0.88513,                0.84166,                0.91832,                0.82846,                 1.0061,                 1.0744,                 1.9108,             8.5422e-05,             8.5422e-05,             8.5422e-05
                     78,                 1.0581,                0.95345,                 1.9771,                0.85557,                 0.8497,                0.90945,                0.82601,                0.99939,                 1.1094,                 1.8935,             8.2006e-05,             8.2006e-05,             8.2006e-05
                     79,                 1.0618,                0.98848,                 1.9751,                0.82191,                0.87832,                0.90987,                 0.8244,                 1.0129,                 1.1004,                 1.9072,             7.8591e-05,             7.8591e-05,             7.8591e-05
                     80,                 1.0585,                0.96053,                 1.9725,                0.84895,                0.85258,                0.90864,                0.82633,                 1.0079,                 1.1066,                 1.9093,             7.5175e-05,             7.5175e-05,             7.5175e-05
                     81,                 1.0498,                0.94008,                 1.9721,                0.84303,                0.85541,                0.90538,                0.82222,                0.99751,                 1.0904,                 1.9092,              7.176e-05,              7.176e-05,              7.176e-05
                     82,                 1.0493,                0.93169,                 1.9739,                0.85701,                0.83891,                0.90826,                0.81752,                 1.0133,                  1.107,                 1.9153,             6.8344e-05,             6.8344e-05,             6.8344e-05
                     83,                 1.0339,                0.93505,                 1.9589,                0.86005,                0.85593,                0.91292,                0.82597,                 1.0032,                 1.1315,                 1.9076,             6.4929e-05,             6.4929e-05,             6.4929e-05
                     84,                 1.0408,                0.92291,                  1.965,                0.80479,                0.88491,                 0.9171,                0.83018,                 1.0171,                 1.0985,                 1.9319,             6.1514e-05,             6.1514e-05,             6.1514e-05
                     85,                  1.028,                0.91847,                 1.9554,                0.85733,                0.81872,                0.91243,                0.81916,                 1.0336,                 1.1228,                 1.9402,             5.8098e-05,             5.8098e-05,             5.8098e-05
                     86,                 1.0264,                0.90587,                 1.9551,                0.88406,                0.82077,                0.91401,                0.82038,                 1.0328,                 1.0941,                 1.9305,             5.4683e-05,             5.4683e-05,             5.4683e-05
                     87,                 1.0325,                0.91345,                 1.9599,                0.85738,                0.85814,                0.92083,                0.82891,                 1.0196,                 1.0893,                 1.9305,             5.1267e-05,             5.1267e-05,             5.1267e-05
                     88,                 1.0233,                0.90493,                 1.9489,                0.84768,                0.88745,                0.93083,                0.83924,                 1.0171,                 1.0323,                 1.9318,             4.7852e-05,             4.7852e-05,             4.7852e-05
                     89,                 1.0359,                0.89652,                 1.9554,                0.86869,                0.87855,                0.92407,                0.83345,                 1.0355,                 1.0347,                 1.9455,             4.4436e-05,             4.4436e-05,             4.4436e-05
                     90,                 1.0271,                0.89871,                 1.9638,                0.88372,                0.85166,                 0.9263,                0.84018,                 1.0255,                 1.0452,                 1.9334,              4.102e-05,              4.102e-05,              4.102e-05
                     91,                0.84304,                0.55584,                 1.8845,                 0.8439,                0.87901,                0.92093,                0.83272,                 1.0348,                 1.0503,                 1.9384,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     92,                0.82729,                 0.5109,                 1.8723,                0.84637,                0.86957,                0.92233,                0.83238,                  1.023,                 1.0703,                 1.9259,             3.4189e-05,             3.4189e-05,             3.4189e-05
                     93,                0.81194,                0.51143,                 1.8635,                0.85422,                0.88107,                0.93152,                0.83959,                 1.0375,                 1.0371,                 1.9402,             3.0774e-05,             3.0774e-05,             3.0774e-05
                     94,                  0.806,                0.49575,                 1.8615,                0.87663,                0.85493,                0.92555,                0.83377,                 1.0248,                  1.037,                 1.9327,             2.7358e-05,             2.7358e-05,             2.7358e-05
                     95,                0.80135,                0.49093,                  1.859,                0.84853,                0.87365,                0.92564,                0.83024,                 1.0501,                 1.0539,                  1.953,             2.3943e-05,             2.3943e-05,             2.3943e-05
                     96,                0.78754,                0.47314,                 1.8447,                0.89239,                0.85381,                0.93446,                0.83979,                 1.0441,                  0.999,                 1.9479,             2.0528e-05,             2.0528e-05,             2.0528e-05
                     97,                0.79078,                0.47298,                 1.8446,                0.84617,                0.87912,                0.93067,                0.83873,                 1.0385,                 1.0427,                 1.9393,             1.7112e-05,             1.7112e-05,             1.7112e-05
                     98,                0.78691,                0.46817,                 1.8417,                0.88765,                0.83467,                0.92437,                0.83234,                 1.0331,                 1.0388,                 1.9378,             1.3697e-05,             1.3697e-05,             1.3697e-05
                     99,                0.78413,                0.46906,                 1.8483,                0.86774,                0.86572,                0.92884,                0.83698,                 1.0405,                 1.0294,                 1.9446,             1.0281e-05,             1.0281e-05,             1.0281e-05
                    100,                0.77991,                0.46328,                 1.8459,                0.85176,                0.87592,                0.92439,                0.83368,                 1.0347,                 1.0278,                 1.9399,             6.8655e-06,             6.8655e-06,             6.8655e-06
