epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,13890.2,0.46225,0.29795,0.94144,0.99291,0.99434,0.99369,0.96944,0.27842,0.16053,0.8062,0.003565,0.003565,0.003565
132,13990,0.46967,0.29716,0.94654,0.99166,0.99379,0.99435,0.9707,0.27405,0.15562,0.80545,0.0035155,0.0035155,0.0035155
133,14083.4,0.46689,0.29756,0.94405,0.99494,0.99622,0.99448,0.96999,0.27864,0.1548,0.80816,0.003466,0.003466,0.003466
134,14178.1,0.46238,0.29593,0.9397,0.99455,0.99598,0.99447,0.97263,0.2761,0.15437,0.80807,0.0034165,0.0034165,0.0034165
135,14278.8,0.46271,0.29637,0.94204,0.99457,0.99608,0.99443,0.97155,0.27377,0.15382,0.80956,0.003367,0.003367,0.003367
136,14371.3,0.45585,0.29434,0.93639,0.99312,0.99536,0.99443,0.9732,0.27096,0.15195,0.80907,0.0033175,0.0033175,0.0033175
137,14464.6,0.45683,0.29839,0.9404,0.9944,0.99721,0.99443,0.97324,0.26654,0.1505,0.8054,0.003268,0.003268,0.003268
138,14565.2,0.45643,0.29048,0.93936,0.99296,0.99888,0.99451,0.97317,0.26786,0.14971,0.80576,0.0032185,0.0032185,0.0032185
139,14658.3,0.44352,0.28381,0.93407,0.99455,0.99661,0.9945,0.97155,0.26686,0.15042,0.80446,0.003169,0.003169,0.003169
140,14751.5,0.45073,0.29148,0.9394,0.99449,0.99463,0.99448,0.97242,0.26466,0.14639,0.80429,0.0031195,0.0031195,0.0031195
141,14853.7,0.4531,0.2918,0.94248,0.99355,0.99655,0.99456,0.97239,0.26117,0.14543,0.80331,0.00307,0.00307,0.00307
142,14946.8,0.44561,0.28594,0.93591,0.99521,0.9955,0.99456,0.97318,0.25845,0.14562,0.8023,0.0030205,0.0030205,0.0030205
143,15040.8,0.43944,0.28361,0.93601,0.99498,0.99763,0.99459,0.974,0.2579,0.14398,0.80265,0.002971,0.002971,0.002971
144,15140.2,0.44064,0.28348,0.93601,0.99461,0.99751,0.9946,0.97423,0.2555,0.1456,0.80058,0.0029215,0.0029215,0.0029215
145,15232.7,0.446,0.28653,0.9335,0.99578,0.99804,0.9946,0.97573,0.25295,0.1441,0.79873,0.002872,0.002872,0.002872
146,15326.8,0.43835,0.28108,0.93194,0.99556,0.99836,0.99462,0.97594,0.2537,0.1448,0.80052,0.0028225,0.0028225,0.0028225
147,15425.2,0.42963,0.27814,0.93138,0.99444,0.99813,0.99461,0.97653,0.24947,0.14234,0.79977,0.002773,0.002773,0.002773
148,15517.6,0.42875,0.27875,0.92902,0.99512,0.99689,0.99457,0.97616,0.24882,0.14267,0.8,0.0027235,0.0027235,0.0027235
149,15611.6,0.4264,0.27275,0.92985,0.99577,0.99657,0.99456,0.97716,0.2486,0.14125,0.79886,0.002674,0.002674,0.002674
150,15710.5,0.42641,0.27562,0.93031,0.99439,0.99621,0.99451,0.9777,0.24887,0.14196,0.80026,0.0026245,0.0026245,0.0026245
